683,1886,14553,141,7,14690
-2982,4243,13006,24,4,14001
-4501,-591,14770,172,6,15451
-2829,466,17894,195,5,18122
-1337,824,12860,173,6,12955
-2699,3283,17326,196,5,17839
-4030,2562,15768,143,7,16475
-6451,1178,17072,26,4,18288
-3534,-918,16720,174,6,17114
-4901,2614,15860,197,5,16804
-1409,368,16630,144,7,16693
-3839,4515,14893,175,6,16028
-441,1937,15424,198,5,15551
-39,7142,15829,28,4,17365
-869,3226,14894,199,5,15264
-501,5387,17592,146,7,18405
1596,4042,16643,29,4,17201
-1721,2373,15118,177,6,15399
-4432,-1046,11555,200,5,12419
-360,3006,15680,147,7,15969
-3652,-4084,17222,30,4,18072
-3670,-1820,15055,178,6,15602
-581,-612,15509,148,7,15531
-3434,3318,16035,31,4,16730
2192,2254,14816,179,6,15145
-1784,-42,15818,202,5,15918
386,4090,15691,149,7,16219
-1237,-437,15418,180,6,15473
1463,2331,16175,203,5,16407
-177,-545,18014,150,7,18023
-397,-600,18938,181,6,18951
-1221,2053,14650,204,5,14843
-1685,1036,19216,151,7,19317
-1477,-1437,13102,182,6,13263
-457,-1227,16170,205,5,16222
-714,-2446,16499,152,7,16694
357,-2086,17263,183,6,17392
-603,-990,15437,206,5,15480
2362,-539,16849,153,7,17022
-313,-3733,17548,207,5,17943
3401,-5066,14681,154,7,15898
2089,1013,14264,185,6,14451
4749,-1061,15674,208,5,16411
2512,-4748,15214,155,7,16134
-2811,-2256,12245,186,6,12764
-1735,-462,17472,209,5,17564
-2195,-626,15311,156,7,15480
-339,769,18836,187,6,18854
-1118,-137,17581,210,5,17617
1491,-1375,13325,157,7,13478
-4359,-1239,17699,188,6,18269
-1244,-1283,16685,211,5,16780
-1119,-1464,14334,212,5,14451
603,-571,15132,159,7,15154
-5937,-1281,16802,190,6,17866
-1924,-936,16624,213,5,16761
-1391,-99,14125,191,6,14193
-4770,2645,12712,214,5,13832
-1423,581,15315,215,5,15391
-2286,-4199,15432,162,7,16155
-6168,1286,17105,193,6,18228
-3989,814,15387,163,7,15916
-3081,813,14841,194,6,15179
-4860,688,16486,164,7,17201
-4185,3123,13606,195,6,14573
-6679,1277,16254,218,5,17619
-4412,990,16870,165,7,17465
-1113,3964,16751,196,6,17249
-2406,1357,16660,219,5,16887
-1855,1260,17883,166,7,18023
-1901,5832,15729,197,6,16882
-702,2425,17945,220,5,18121
613,3571,15743,167,7,16154
-1812,-1934,15499,221,5,15723
-5669,1247,13796,199,6,14967
-1528,4261,15744,222,5,16381
948,-3198,17881,169,7,18189
-1227,-707,15652,223,5,15715
-1419,2832,16538,170,7,16838
-1456,-165,16408,201,6,16473
-2182,658,15384,224,5,15551
754,2460,15906,171,7,16112
-651,2595,16811,202,6,17022
-1801,2240,17114,225,5,17353
-1288,-846,15652,172,7,15727
-2277,-507,14614,226,5,14799
-275,289,16085,173,7,16089
-1519,1195,18187,227,5,18289
-7,-2263,14293,174,7,14471
-2147,-4163,13426,205,6,14219
-8,-6590,17033,228,5,18263
-132,-2063,13962,175,7,14114
2493,1514,14642,206,6,14929
4019,554,15958,229,5,16465
1512,-573,15132,176,7,15218
2971,-2533,17750,207,6,18174
-1675,-3352,16047,230,5,16478
-4131,-721,19012,208,6,19468
-3093,2272,16874,231,5,17304
-515,-3942,15990,209,6,16476
-301,-2775,15478,232,5,15727
-976,-559,18085,179,7,18119
-3845,1116,13516,210,6,14096
-2464,296,18556,233,5,18721
-859,943,14183,180,7,14240
-990,942,20586,211,6,20631
-2505,-4811,16571,181,7,17436
-1852,-293,14973,212,6,15089
272,-841,16024,213,6,16048
-1507,694,15675,236,5,15762
-884,-1985,15500,183,7,15651
-2964,-53,17089,214,6,17344
-3889,2621,14318,184,7,15066
-5267,392,13384,215,6,14388
-2421,400,17484,238,5,17655
-1414,805,16465,185,7,16545
-3090,337,15066,216,6,15383
-2182,476,16308,239,5,16460
-3829,-1363,14261,186,7,14828
-2474,2665,17676,240,5,18046
-1416,7425,16988,218,6,18593
-3713,5327,15578,241,5,16877
1047,1861,17295,188,7,17426
-1906,-319,14591,242,5,14718
-1897,390,13552,220,6,13689
-1802,-225,17694,243,5,17786
-1380,-2500,18200,190,7,18422
-289,1140,14891,221,6,14937
-2047,2010,16631,244,5,16876
-1387,3485,15725,191,7,16166
1345,-12,15663,245,5,15720
-2087,1970,15264,192,7,15531
1115,504,13797,223,6,13851
-2488,2665,14115,246,5,14578
-1517,-960,17124,193,7,17217
-2620,-2277,17655,224,6,17993
1078,-2953,14748,247,5,15079
-1437,-299,15879,194,7,15946
-1222,1139,15661,225,6,15749
-1352,4073,15378,248,5,15965
897,-247,17550,195,7,17574
-2425,-1129,15168,226,6,15402
1151,-2552,15221,249,5,15476
1586,-2233,14337,227,6,14596
2424,-1086,16299,197,7,16514
3444,-1891,17468,228,6,17904
622,-2061,16035,251,5,16178
1802,-4606,14756,198,7,15562
-3297,2047,17624,229,6,18046
-2713,4463,14650,252,5,15553
-1118,594,14230,199,7,14286
-2397,-1996,17826,230,6,18096
634,-2762,16850,253,5,17086
-876,-2648,15469,200,7,15718
